raceID,raceCountry,raceDistance,raceName
4243,POL,100km,rze+�nik ultra 10
2062,GER,100km,int. 12 stunden-lauf gr+-nheide/st+?ritz - 100km spli
7587,USA,100km,never summer 100
3016,USA,50mi,azalea 50 mile rac
17,USA,50km,tashka 50
2840,ITA,50km,san galgano run - ultratrai
7390,USA,100mi,eagle up ultra 100 mil
5249,AUS,50km,nerang state forest 50 km ru
3503,FRA,50km,gruissan phoebus trail de 50 k
7832,KOR,100km,cheongnamdae 100km ultra maratho
5839,CHN,50km,beijing 100 baoshan trail - 50k
4256,USA,50km,san jose trail ru
7252,FRA,50km,l'ultra techni trail de tiranges 50 k
1215,USA,50mi,running with the devil 50 mile rac
6425,USA,50km,run around the world festival - 50 km ru
5461,HUN,50km,50 km velence - ultrarunning cup 50 k
3501,KOR,100km,jeju city 100 k
7900,USA,50km,taturs pumpkin holler 50 km rac
1434,USA,50km,woodlands ultra - friday night star
5818,JPN,50km,okinoshima 50km ultra maratho
130,USA,50km,ultra race of champions (uroc) 50
244,BEL,100mi,24 uur van aalter - 100mi spli
6260,USA,100mi,dawn to dusk to dawn 24 hour ultra - 100mi spli
4884,GBR,50km,100km redwick - 50km spli
4942,AUS,50km,runningworks ultr
78,USA,50km,skyline to the sea 50k
7113,USA,50km,playin��� possum 50k trail ru
3386,USA,50km,mesquite fire 50k
3400,FRA,100km,grand raid de camargue 100k
3561,TPE,100km,yilan dongshan river 100km ultra-maratho
3347,GRE,50km,theagenios ultra 5
7187,PHI,50km,philippinenlauf etappe
717,NZL,100km,the old forest hanmer 100 - 100 k
6101,CHN,100km,beijing 100 k
839,GER,50km,sri chinmoy peace-mile 6-stunden lauf m+-nchen - 50km spli
7164,USA,50km,on the rocks trail ru
2455,CHN,50km,antu four mountain one lake trail - 50k
1350,GER,50km,lgu jubil+�umslau
3176,USA,50km,wc-50 ultra trail marathon 50k
3444,USA,50mi,pilot mountain to hanging rock 50m ultr
830,USA,50km,greenbrier 50k fun ru
7020,USA,50km,mt. tam trail ru
52,USA,50km,catoctin 50k trail ru
12,AUS,50mi,gold coast 50 mile super maratho
6147,CHN,50km,zibo mount yueyang trail ru
7473,USA,100km,green lakes endurance run 100 k
3540,USA,50mi,stone cat 50 mil
3943,FIN,50km,endurance 24 h ultrarun helsinki - 50 km spli
2150,USA,50km,sun mountain 50 km trail race
7666,USA,50km,orange beach ultr
6362,USA,100km,saddle blazer 100
6776,GER,100km,jurasteig nonstop ladies edition 100k
5462,USA,50km,ohlone 50k wilderness ru
5662,USA,50km,frozen sasquatch 50k trail rac
2800,USA,50mi,zumbro midnight 50 mile trail rac
609,SWE,50km,markusloppet 50k
1692,UAE,50km,urban-ultra utx5
1129,DEN,50mi,firkl+?ver 50 mile
6971,JPN,100km,okinawa 100km ultramaratho
6933,USA,50mi,the georgia jewel 50 mile ru
1941,SWE,50km,storvretaklassiker
2246,USA,100km,fasttrack 24 hour run - 100km spli
3604,USA,100mi,great southern 100 mile endurance ru
5768,USA,100km,the chimera 100 km mountain rac
2368,IND,100km,nilgiris ultra 100 k
2747,RUS,100km,golden ring 100 km ultra trail
1069,RSA,100km,cape town festival of running 100 k
1000,USA,50mi,umstead endurance run 50 mile
3076,CRO,100km,cro100 - iau wc/wma - open rac
1425,USA,50km,echo summit trail challenge 50 k
727,CAN,50mi,tenderfoot boogie 50 mile ultra trail rac
536,USA,50km,double top 50 k
1131,USA,100km,lone star 100 - 100 k
5041,USA,100mi,lone star 100 - 100 mile
5800,TPE,100km,the beast trail 100k
7007,BRA,50km,insane ttra po+�os de caldas 3t� stag
4567,USA,50mi,ouachita trail 50 mil
2653,USA,50mi,lhotse 50 mile endurance challeng
1828,PHI,50km,mt. batolusong mountain ru
881,FRA,50km,le trail de la chauss+�e des g+�ant
7162,JPN,100km,koyasan and ryujin-onsen 100 km ultra maratho
3015,USA,50km,huff 50k trail ru
4443,USA,50mi,grand canyon 50 mil
1059,USA,100km,dinosaur valley endurance run 100 k
338,USA,50km,feral hog 50
2396,USA,100mi,hawk hundred - 100 mile trail ru
2275,GBR,100mi,jurassic coast 100 mile ultr
3313,AUS,50mi,wild horse criterium 50 mile
639,USA,50km,hixon 5
5786,AUS,100km,the tan 100 km ultr
5878,GBR,50mi,apocalypse 50 mil
2657,HKG,100km,ultramarathon de sai kun
7616,USA,50km,the great scorpion trail ru
1928,AUS,50km,misty mountain trail ru
5059,CHN,50km,beijing 50 k
2797,GER,100km,100 kilometer von berlin - deutsche meisterschaf
7983,USA,50km,seth���s fat ass 50
7013,USA,50km,frozen trail runfes
